date,listeners,monthly listeners,monthly active listeners,super listeners,streams,playlist adds,saves,followers
2026-04-15,0,0,0,0,0,0,0,0
2026-04-16,4,4,4,0,7,1,3,1
2026-04-17,29,31,31,3,215,10,32,4
2026-04-18,45,60,60,5,500,15,50,6
2026-04-19,70,100,100,12,1000,25,80,10
2026-04-20,110,138,138,25,1500,40,120,15
2026-04-21,130,170,170,35,2000,55,160,22
2026-04-22,160,200,200,48,2500,70,210,30
2026-04-23,210,249,249,60,3200,85,260,40
2026-04-24,270,309,309,75,4000,110,320,55
2026-04-25,310,354,354,97,4800,130,380,72
2026-04-26,340,386,386,105,5200,145,410,85
2026-04-27,370,411,411,115,5600,160,440,98
2026-04-28,400,444,444,125,6000,180,480,112
2026-04-29,430,478,478,135,6400,200,510,125
2026-04-30,450,478,478,145,6676,215,530,140
2026-05-01,478,478,478,150,6676,220,550,142
2026-05-02,550,650,650,155,8500,250,620,145
2026-05-03,720,820,820,162,10500,300,750,148
2026-05-04,947,947,947,169,12021,350,819,152
2026-05-05,968,992,992,185,13147,380,852,152
2026-05-06,1005,1031,1005,200,14161,437,888,173
2026-05-07,1100,1074,1047,219,15509,461,921,181
2026-05-08,1102,1102,1075,233,16900,466,951,190
